,Scarborough Health Network - Centenary Hospital,Centre For Addiction and Mental Health - Queen Street Site,Sunnybrook Health Sciences Centre - Bayview Campus,Toronto Western Hospital,St. Joseph's Health Centre,Michael Garron Hospital,Etobicoke General Hospital,Humber River Hospital,Scarborough Health Network - General Campus,Scarborough Health Network - Birchmount Hospital,North York General Hospital,Toronto General Hospital,Hospital for Sick Children,Mount Sinai Hospital,Centre For Addiction and Mental Health - College Street Site,St. Michael's Hospital
M4R,21113.398000000012,10178.570999999998,3270.2760000000003,8089.244999999999,12226.962,8907.621,18839.539,9045.331999999997,15694.878000000004,16361.341999999997,9340.911999999998,6889.329000000001,7091.227,6949.1,7278.284999999999,7627.639999999999
M4S,20201.479999999996,9535.481999999998,3602.9599999999996,7337.332999999999,11583.873,6021.456000000001,20753.545999999995,11720.561,14422.086000000003,16491.855,9823.497999999998,6070.640999999999,5907.308999999998,6128.459999999998,6526.372999999999,6101.080999999998
M4T,21550.596999999994,8131.309,5214.937000000002,5933.16,10179.699999999999,6722.91,21188.329999999998,12393.224,15771.203000000001,17840.971999999998,11307.029000000002,4666.467999999998,4503.135999999999,4724.286999999998,5122.200000000001,4696.907999999999
M6R,29050.43900000001,3346.818,14161.163999999992,4299.708,882.307,12503.668000000005,17670.120000000006,10469.111,23483.939000000013,26678.791000000005,19961.614999999998,5583.094,5961.306,5642.865,4742.544,6718.111999999999
M6S,30346.276000000013,5866.662,15353.124999999993,6751.558,3508.8779999999997,13799.505000000005,15953.044999999995,10320.597999999998,24779.776000000016,27901.916999999998,20901.856,8034.944,8413.156,8094.715,7194.394,9169.962000000003
M8V,36031.51300000001,8949.719,21197.638,10997.067000000001,6591.935,19540.14200000001,17957.924,16039.118999999999,30465.013000000006,33715.26500000003,26998.089000000004,12407.859999999991,12506.421999999993,12348.16699999999,11652.011999999997,12789.430999999993
M8Z,35975.63900000001,8893.844999999996,20356.045000000002,10941.192999999997,6536.060999999998,19692.046000000006,15156.788999999993,14047.104,30409.139,32596.237,25596.176000000003,12351.985999999988,12450.54799999999,12292.292999999987,11787.069999999994,12733.55699999999
M9A,32835.79899999998,10965.391999999998,16015.799,11880.586999999998,8607.607999999997,18900.869,10729.03,9565.929000000002,27056.40499999998,28255.990999999998,21255.93,13163.972999999993,13542.184999999994,13223.743999999993,12323.422999999995,14298.990999999995
M9L,32285.906000000006,19435.80900000001,18850.389000000003,20265.20700000001,17657.964,25560.95499999999,6424.648,9146.836,29386.211,21720.233000000007,17689.986999999997,21548.593000000015,21926.80500000002,21608.364000000016,20655.729000000003,22683.611000000015
M4E,16140.556999999995,11530.733999999993,11758.023999999998,10184.685,14097.379999999992,4112.849999999999,30305.511000000002,21738.341999999993,10574.057,15492.722999999994,15275.576000000008,8435.756000000001,8154.051,8376.063,9537.288999999997,7752.933000000002
M4G,17814.461999999992,11519.164999999999,2946.9379999999996,9321.016000000001,13567.556,4887.024,22331.194,13033.671,12035.068000000003,14104.836999999996,7570.894,8054.324,7890.992,8112.143,8510.056,8084.764
M4H,18272.971999999998,11824.875999999995,5313.842000000001,9591.478,14025.684999999994,4060.985,24327.145,15294.159999999996,12493.578000000005,14668.190999999999,9561.606000000003,8225.618,8060.7930000000015,8282.805,8944.081999999997,8210.417000000001
M1W,12802.271,25389.81800000001,13872.979999999996,23156.420000000006,27580.94300000001,14530.991999999997,25483.04899999999,18951.197,10522.754,1596.824,7109.042999999999,21790.560000000005,21625.735000000004,21847.747000000007,22509.02400000001,21775.359
M1X,6545.479999999999,31743.344000000016,21522.907999999996,29973.62600000001,34309.99000000001,21572.915000000008,32909.029999999984,26576.46600000001,10301.196,7798.262,14734.312000000002,28473.261000000002,28191.556,28413.568000000003,29326.230000000014,27965.543
