,Scarborough Health Network - Centenary Hospital,Centre For Addiction and Mental Health - Queen Street Site,Sunnybrook Health Sciences Centre - Bayview Campus,Toronto Western Hospital,St. Joseph's Health Centre,Michael Garron Hospital,Etobicoke General Hospital,Humber River Hospital,Scarborough Health Network - General Campus,Scarborough Health Network - Birchmount Hospital,North York General Hospital,Toronto General Hospital,Hospital for Sick Children,Mount Sinai Hospital,Centre For Addiction and Mental Health - College Street Site,St. Michael's Hospital
M1E,0.02312137224466767,0.26399559448055093,0.1942663302420063,0.24746341701107763,0.2932530640644939,0.15924515644491927,0.4140392207349647,0.30605410667371835,0.06300381467455594,0.12833802961923438,0.17702533580652283,0.22973416636846183,0.2298719128058772,0.23221075712639072,0.2394374667099276,0.2231801784316783
M1G,0.014217718302438613,0.239871503534898,0.16573956876337026,0.2231335541774347,0.2681831848037437,0.1360980227395085,0.38373530302803927,0.27628990083685323,0.034932644629282146,0.097126965185097,0.14605585286121078,0.20578853161111677,0.20606533463415005,0.20825716441732675,0.21495965612464932,0.2001857551458673
M1J,0.043348949947901616,0.213563616653676,0.14503013607548668,0.19698949393075602,0.24271352589720596,0.10892211944582622,0.36670030850661905,0.2579268947186657,0.01910551824636674,0.09536196818191053,0.13300759211606908,0.17931608202032664,0.17948199880162655,0.18179281007077586,0.18893968410422712,0.1729941673087086
M1M,0.06177624125435309,0.20419507407739587,0.14339466863538647,0.18799135348105048,0.2342989952597595,0.09970014683671728,0.3666131909591297,0.2571938474662298,0.035974209660474786,0.10961638250989698,0.13867374012693182,0.17001227155398,0.17001064582486233,0.17247515605065455,0.18019408782794916,0.16264424520089843
M2K,0.17603380359289578,0.14167529237823562,0.05715803110048397,0.12842000338084794,0.1554957521582888,0.105608016735005,0.2229008812393859,0.12149873493309596,0.13502852383807476,0.07479573304593029,0.02091731582343126,0.12111304862532361,0.1224510673550813,0.12245668987334765,0.12193521457257633,0.12594197307799931
M2L,0.17036385998208,0.1211939052268521,0.03274390324126789,0.10685370129825138,0.1383305773758459,0.08142973503461128,0.22616028760591628,0.11960867829840088,0.12556922787641733,0.07889625359958123,0.01733139872452857,0.09789232087928165,0.0991651176055881,0.09942280537541413,0.09983377105197402,0.10187767972727131
M4N,0.19526251553058374,0.09082968730592596,0.020259808722197233,0.07771427036329727,0.10625919727636166,0.07962726476551978,0.20442150358305688,0.0952768160850571,0.1481263040057466,0.11031798978561375,0.04957177337707064,0.07185978513668906,0.0732757597281228,0.07292462486113396,0.07152354543107807,0.07827292852725608
M4P,0.19533993192736432,0.0768812486479664,0.01636297546479952,0.06256542422264774,0.09582858079563507,0.06783481864925499,0.21010122956089253,0.10060496294406426,0.14704939222513044,0.11821791757016786,0.06107891144110917,0.05506641028570746,0.05644678201557647,0.05629311553767852,0.055764923780475054,0.06101724545710294
M4R,0.21212134568925353,0.07246953991500124,0.03272834192855277,0.06094039960066137,0.08600740623063423,0.08512962018230522,0.19210248065050453,0.08262983490163857,0.16416111782786588,0.1304584423483658,0.07001005927404592,0.05871854134295933,0.0602070310141708,0.059229818468762525,0.055894418474623064,0.06721838009330325
M4S,0.1975063410611392,0.06680373744044284,0.024177876370905505,0.05157168458316634,0.0885183754552878,0.06188623451065877,0.21405020911537884,0.10519042533596888,0.1486922232366768,0.12617647494883422,0.07174041115303927,0.04258848550401335,0.04393294742908666,0.04395402378281938,0.0442691718207496,0.04820232957164201
M4T,0.20124684411012736,0.05740745523121058,0.03509972248900177,0.04131429443503931,0.08190102920212936,0.05918485491912942,0.2176647897137415,0.11006160694885236,0.1521894338317833,0.1352368748663229,0.0830401340818352,0.030482846673506783,0.03177615903927471,0.03201898925491155,0.03348935790949883,0.03578554096852957
M6R,0.27830056513271906,0.030825274239689858,0.10606785249587652,0.044172962971711256,0.006855224968672698,0.13143585745937547,0.16997187880787323,0.08589689327745201,0.22920871616381894,0.20835333258432395,0.1495370398144957,0.0621187891262294,0.06245631552161676,0.05977076083821536,0.051306860872883775,0.07168083773357839
M6S,0.302343862629387,0.05881636154009849,0.12616242593851515,0.07181413371386514,0.028440310083523226,0.15764407298823227,0.1450862198890941,0.07534759873290597,0.2533401609918545,0.22681628469656356,0.16592737368081054,0.08952637629673521,0.08997155186183188,0.08724638179377897,0.07851640295756775,0.09945624424196238
M8V,0.34296490781124783,0.08970646994648486,0.17105403499577768,0.10605853414637274,0.06068634937426905,0.19444788068667557,0.15611854593776403,0.11701073929006808,0.2938900832218977,0.27293674981262306,0.21291801254375428,0.12392523883193961,0.12389504254130483,0.12145556990511268,0.11406351297000736,0.13154394325104904
M8Z,0.34830148005202943,0.0999966718057042,0.17200433116673888,0.11501316041002399,0.06861569085530268,0.20256048891884285,0.1308693478077554,0.10127741992572695,0.2992703821772523,0.2719096688179092,0.21041055462050096,0.1330707783095358,0.13331316296816714,0.13067793860273022,0.12240086483751418,0.1420783620280061
M9A,0.3431534948307061,0.11210025451707516,0.16372294008415614,0.1235092438213145,0.08239807785333485,0.2048426894681486,0.09410075830275604,0.06988864829082247,0.29483578453489995,0.25759445531714853,0.1951410583716779,0.1404010861092244,0.14106424168910206,0.13830412905764686,0.12926759921435688,0.151060197250801
M9L,0.35196431853710597,0.17985738252646452,0.18492139179507364,0.18388239292234734,0.15915121362762222,0.2412744793160087,0.05133518610776841,0.07630345828356798,0.30834941603416216,0.2504185649048492,0.1936777745723968,0.19564396709078027,0.19685366562340514,0.19440781494507747,0.18598198659907594,0.20709981531084745
M4E,0.13606587686977323,0.12900554775228404,0.09201628199334261,0.11368977227797065,0.16009517083988223,0.03279826846780752,0.3078732874714114,0.19943688976975632,0.09144427190208325,0.12458642239100043,0.11394694559011334,0.09566941192927794,0.09538261820322104,0.09803680754305917,0.10653153257090231,0.08682353068241698
M4G,0.17359926030100353,0.08772247213860296,0.014949617875495353,0.07143520595784836,0.11166947379823416,0.04519430831676668,0.23422531490447102,0.12472367730580332,0.12484809434595097,0.10516947957170303,0.057172746069734146,0.0583530711629691,0.05937981113685384,0.06034735479119604,0.06339821932904861,0.05983596104609691
M4H,0.15833802741445108,0.09674251173325799,0.03629360154072543,0.07990789168395392,0.12408533191067413,0.023451857693535628,0.25560184641249073,0.14625302630900242,0.10924552685008422,0.10331459597605631,0.06774339072585062,0.06362394868861249,0.06421023359269863,0.06600021092860951,0.07162667989182044,0.06094774594676381
M1W,0.11859116451163541,0.1858224536028792,0.0950544165785749,0.17008513717605778,0.20611748071516844,0.11151755816323435,0.2857585793707275,0.18440846095127852,0.08629885800007384,0.012136686251559904,0.052373533778028995,0.15755596984596856,0.15855695997653846,0.1595645972894581,0.16226206514612684,0.1581397393939705
M1X,0.05375785718806459,0.26281786541994234,0.17762814173951424,0.24607634148150875,0.2878311258702376,0.1662055921759699,0.37971927999237337,0.2775962947412688,0.07255271430742803,0.08232444532184043,0.14383567882859308,0.23032824692456533,0.2309378010734893,0.23268357199100326,0.23780186950551344,0.2272068832663536
